,id_seq1,target_seq1,id_seq2,target_seq2,distance
193,sequence_51016,-4.626935645431157,sequence_32111,-7.720394486348803,14864.089826128253
135,sequence_51016,-4.626935645431157,sequence_32120,-5.463833086780952,15540.86920797651
287,sequence_51170,-5.599110392902725,sequence_32131,-6.7244621963556055,13869.31865819478
383,sequence_51170,-5.599110392902725,sequence_32142,-5.589646359982146,13607.942683260037
295,sequence_51170,-5.599110392902725,sequence_32129,-8.31556501084656,14133.88540259102
343,sequence_51170,-5.599110392902725,sequence_32159,-6.970724932862983,14208.242768761833
344,sequence_51170,-5.599110392902725,sequence_32149,-7.516758509933092,13416.647377965392
475,sequence_51170,-5.599110392902725,sequence_32173,-7.412850678006673,13760.92195353744
282,sequence_51170,-5.599110392902725,sequence_32141,-5.887274565323308,13792.472696963643
395,sequence_51170,-5.599110392902725,sequence_32118,-5.976481335612996,14061.046612102007
283,sequence_51170,-5.599110392902725,sequence_32124,-6.481163109642129,14554.68073577686
444,sequence_51170,-5.599110392902725,sequence_32156,-7.327994265882848,13513.392446477585
387,sequence_51170,-5.599110392902725,sequence_32139,-6.187468874223483,14290.290454343742
290,sequence_51170,-5.599110392902725,sequence_32147,-6.122695079257531,14027.694698641752
385,sequence_51170,-5.599110392902725,sequence_32123,-5.794704758333088,14137.85174451136
339,sequence_51170,-5.599110392902725,sequence_32150,-7.3196132933177775,14616.263734759965
488,sequence_51170,-5.599110392902725,sequence_32153,-7.7527305527290675,14320.334137544458
393,sequence_51170,-5.599110392902725,sequence_32136,-9.513216858041744,13884.71818391092
450,sequence_51170,-5.599110392902725,sequence_32154,-6.956779787785928,13820.665584240553
292,sequence_51170,-5.599110392902725,sequence_32122,-5.6780835220027175,14297.544060030505
331,sequence_51170,-5.599110392902725,sequence_32180,-7.4665305235863535,13295.576202971544
380,sequence_51170,-5.599110392902725,sequence_32160,-7.729750228413137,14205.543886968404
281,sequence_51170,-5.599110392902725,sequence_32117,-6.013942880307312,14113.650179881444
248,sequence_51170,-5.599110392902725,sequence_32130,-5.7157882520247325,14056.450945344988
285,sequence_51170,-5.599110392902725,sequence_32127,-5.3072183078974415,13890.20607749997
286,sequence_51170,-5.599110392902725,sequence_32133,-6.519779039196885,14039.441660822831
483,sequence_51170,-5.599110392902725,sequence_32144,-5.565961069145386,13771.36499868333
379,sequence_51170,-5.599110392902725,sequence_32134,-6.086948143042816,13826.611542701812
